На складе (тонн),Вес 1 шт./кг.,,Цена 1 - 5 т. ,"Цена 5 - 15 т.
",Цена > 15 т. ,Филиал,Наименование,Размер,Длина,Доп. информация/ГОСТ,Категория,Длина
3.12,301.138,22853.38,74890,74890,74890,ЧЕЛЯБИНСК,Круг ст30ХГСА,90мм,,"ГОСТ 2590-2006,4543-2016 2ГП",Круг,06.03
5.26,2651.315,358457.75,135200,135100,135000,ЛОБНЯ,Круг Ст40Х,340мм,3гп,"ГОСТ4543-2016, ТУ14-1-2118-98",Круг,3.72
05.07,2658.442,351180.17,132100,132000,131900,ЛОБНЯ,Круг Ст45,340мм.,3ГП,ТУ14-1-2118-98 ГОСТ1050-88 3ГП,Круг,3.73
10.80,2791.040,415557.95,148890,148890,148900,ЧЕЛЯБИНСК,Круг ст30ХГСА,340мм,,"ТУ 14-1-2118-98,4543-2016 3ГП",Круг,3.92
2.40,2396.602,316591.19,132100,132000,131900,ЛОБНЯ,Круг Ст35,340мм.,,ТУ14-1-2118-98 ГОСТ1050-88 3ГП,Круг,3.38
5.74,302.000,28415.18,93090,92990,92890,ЧЕЛЯБИНСК,Круг Ст38хс,90мм,,"ГОСТ 2590-2006, 4543-2016, 2ГП",Круг,06.04
13.54,301.638,19214.32,62200,62100,62000,ЛОБНЯ,Круг Ст35,90мм,,"ГОСТ2590,1050/ТУ14-1-5228-93",Круг,06.04
31.57,43.190,2751.18,59200,59100,59000,ЛОБНЯ,Круг Ст3,34мм,(6+нд),ГОСТ 2590,Круг,06.06
20.16,43.279,2800.16,60200,60100,60000,ЛОБНЯ,Круг Ст20,34мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,06.07
1.60,47.206,5806.36,123000,122890,122890,НОВОСИБИРСК,Круг Ст40х калиброванный,35мм,НД,ГОСТ 7417-75,4543-2016,Круг
0.99,47.206,5985.75,123800,122800,121800,ЧЕЛЯБИНСК,Круг Ст40х калиброванный,35мм,НД,ГОСТ 7417-75,4543-2016,Круг
0.84,43.203,5089.34,114800,113800,113800,ЕКАТЕРИНБУРГ,Круг Ст45 калиброванный,35мм,НД,ГОСТ 7417-75,1050-2013,Круг
03.09,43.052,5209.30,121000,119890,119890,НОВОСИБИРСК,Круг Ст45 калиброванный,35мм,НД,ГОСТ 7417-75,1050-2013,Круг
1.40,43.430,5116.02,114800,113800,113800,ЧЕЛЯБИНСК,Круг Ст45 калиброванный,35мм,НД,ГОСТ 7417-75,1050-2013,Круг
1.45,39.627,4644.28,117200,116890,116890,НОВОСИБИРСК,Круг Ст9ХС,35мм,,"ГОСТ 2590-2006, 5950-2000 2ГП",Круг,5.25
4.11,39.627,4604.66,113200,112890,112890,ЧЕЛЯБИНСК,Круг Ст9ХС,35мм,,"ГОСТ 2590-2006, 5950-2000 2ГП",Круг,5.25
3.85,35.899,3345.81,93200,92890,92890,НОВОСИБИРСК,Круг СтУ8А,35мм,,"ГОСТ 2590-2006, 1435-99 2ГП",Круг,4.8
2.56,37.514,3496.27,90200,89890,89890,ЧЕЛЯБИНСК,Круг СтУ8А,35мм,,"ГОСТ 2590-2006, 1435-99 2ГП",Круг,4.97
5.83,38.760,15038.88,385000,385000,385000,ЧЕЛЯБИНСК,Круг СтХВГ,35,,"ГОСТ 2590-06,5950-2000,2ГП,Т/О",Круг,5.1
1.17,42.507,5007.30,114800,113800,113800,ЕКАТЕРИНБУРГ,Круг Ст20 калиброванный,36мм,НД,ГОСТ 7417-75,1050-2013,Круг
3.68,43.545,5269.01,121000,119890,119890,НОВОСИБИРСК,Круг Ст20 калиброванный,36мм,НД,ГОСТ 7417-75,1050-2013,Круг
2.83,48.000,5654.40,114800,113800,113800,ЧЕЛЯБИНСК,Круг Ст20 калиброванный,36мм,НД,ГОСТ 7417-75,1050-2013,Круг
7.92,47.940,3638.17,72890,72890,72890,ЧЕЛЯБИНСК,Круг ст18ХГТ,36мм,,ГОСТ 2590-2006 4543-2016 2ГП,Круг,6
19.37,48.180,3117.23,60200,60100,60000,ЛОБНЯ,Круг Ст20,36мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,06.03
5.52,2764.178,365147.97,132100,132000,131900,ЛОБНЯ,Круг Ст35,350мм.,,ТУ14-1-2118-98 ГОСТ1050-88 3ГП,Круг,3.66
5.82,2658.445,359421.74,135200,135100,135000,ЛОБНЯ,Круг Ст40Х,350мм,3гп,"ГОСТ4543-2016, ТУ14-1-2118-98",Круг,3.52
11.58,2598.715,343290.28,132100,132000,131900,ЛОБНЯ,Круг Ст20,350мм,,ТУ14-1-2118-98 ГОСТ1050-88 ЗГП,Круг,3.4
10.14,2538.828,378006.04,148890,148890,148900,ЧЕЛЯБИНСК,Круг ст30ХГСА,350мм,,"ТУ 14-1-2118-98,4543-2016 3ГП",Круг,3.4
1.86,45.922,5556.59,121000,119890,119890,НОВОСИБИРСК,Круг Ст35 калиброванный,35мм,НД,ГОСТ 7417-75,1050-2013,Круг
2.42,2356.349,184973.38,78500,78500,78500,НОВОСИБИРСК,Круг Ст40Х,350мм,3ГП,ТУ14-1-2118-98 А_,Круг,3.12
19.23,300.639,19150.69,62200,62100,62000,ЛОБНЯ,Круг Ст3,90мм,,"ГОСТ2590,535/ТУ14-1-5228-93",Круг,06.02
9.12,2635.788,348187.54,132100,132000,131900,ЛОБНЯ,Круг Ст45,350мм.,3ГП,ТУ14-1-2118-98 ГОСТ1050-88 3ГП,Круг,3.49
10.42,38.049,2423.74,59200,59100,59000,ЛОБНЯ,Круг Ст3,32мм,(6+нд),ГОСТ 2590,Круг,06.03
14.01,302.636,19277.94,62200,62100,62000,ЛОБНЯ,Круг Ст45,90мм,,"ГОСТ2590,1050/ТУ14-1-5228-93",Круг,06.06
1.97,40.322,4749.94,114800,113800,113800,ЕКАТЕРИНБУРГ,Круг Ст35 калиброванный,32мм,НД,ГОСТ 7417-75,1050-2013,Круг
04.05,37.980,4595.58,121000,119890,119890,НОВОСИБИРСК,Круг Ст35 калиброванный,32мм,НД,ГОСТ 7417-75,1050-2013,Круг
4.42,40.512,4772.31,114800,113800,113800,ЧЕЛЯБИНСК,Круг Ст35 калиброванный,32мм,НД,ГОСТ 7417-75,1050-2013,Круг
4.17,36.913,3731.59,98090,97990,97890,ЧЕЛЯБИНСК,Круг Ст38хс,32мм,,"ГОСТ 2590-2006, 4543-2016, 2ГП",Круг,5.85
5.81,37.860,2948.92,74890,74890,74890,ЧЕЛЯБИНСК,Круг ст30ХГСА,32мм,,"ГОСТ 2590-2006,4543-2016 2ГП",Круг,6
19.08,38.302,2478.12,60200,60100,60000,ЛОБНЯ,Круг Ст35,32мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,06.07
13.27,2752.119,363554.95,132100,132000,131900,ЛОБНЯ,Круг Ст45,320мм.,3ГП,ТУ14-1-2118-98 ГОСТ1050-88 3ГП,Круг,4.36
1.94,34.435,4056.47,114800,113800,113800,ЕКАТЕРИНБУРГ,Круг Ст20 калиброванный,32мм,НД,ГОСТ 7417-75,1050-2013,Круг
7.73,38.067,2462.96,60200,60100,60000,ЛОБНЯ,Круг Ст20,32мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,06.03
7.96,2751.100,409611.28,148890,148890,148900,ЧЕЛЯБИНСК,Круг ст30ХГСА,330мм,,"ТУ 14-1-2118-98,4543-2016 3ГП",Круг,4.1
5.50,2601.003,343592.52,132100,132000,131900,ЛОБНЯ,Круг Ст35,330мм.,,ТУ14-1-2118-98 ГОСТ1050-88 3ГП,Круг,3.96
11.46,2784.022,376399.83,135200,135100,135000,ЛОБНЯ,Круг Ст40Х,330мм,3гп,"ГОСТ4543-2016, ТУ14-1-2118-98",Круг,4.146
5.71,2719.559,359253.72,132100,132000,131900,ЛОБНЯ,Круг Ст20,330мм.,,ТУ14-1-2118-98 ГОСТ1050-88 ЗГП,Круг,04.05
