2.95;929.043;140740.72;150990;150890;150890;ЧЕЛЯБИНСК;Круг Ст9ХС;230мм;;ГОСТ 2590-2006, 5950-2000 2ГП;Круг;2.85;
3.49;922.580;392557.79;425000;425000;425000;ЧЕЛЯБИНСК;Круг СтХВГ;230;;ГОСТ 2590-06,5950-2000,2ГП,Т/О;Круг;2.83;
2.49;961.700;111932.26;115890;115890;115890;ЧЕЛЯБИНСК;Круг СтУ8А;230мм;;ГОСТ 2590-2006, 1435-99 2ГП;Круг;2.95;
4.05;1065.900;126724.85;118890;118890;118890;НОВОСИБИРСК;Круг СтУ8А;230мм;;ГОСТ 2590-2006, 1435-99 2ГП;Круг;3.3;
3.94;915.900;141955.34;154990;154890;154890;НОВОСИБИРСК;Круг Ст9ХС;240мм;;ГОСТ 2590-2006, 5950-2000 2ГП;Круг;2.58;
3.17;1082.750;460168.75;425000;425000;425000;ЧЕЛЯБИНСК;Круг СтХВГ;240;;ГОСТ 2590-06,5950-2000,2ГП,Т/О;Круг;3.05;
2.25;912.350;138211.90;150990;150890;150890;ЧЕЛЯБИНСК;Круг Ст9ХС;240мм;;ГОСТ 2590-2006, 5950-2000 2ГП;Круг;2.57;
6.72;1118.250;145249.49;129890;129890;129890;ЧЕЛЯБИНСК;Круг Ст38хс;240мм;;ГОСТ 2590-2006, 4543-2016, 3ГП;Круг;3.15;
8.09;1498.431;209480.72;139800;139800;139800;ЧЕЛЯБИНСК;Круг ст18ХГТ;280мм;;ТУ14-1-2118,2590,4543-16 2ГП;Круг;3.1;
5.44;1537.101;214886.68;139800;139800;139800;ЧЕЛЯБИНСК;Круг ст18ХГТ;280мм;;ТУ14-1-2118,2590,4543-16 3ГП;Круг;3.18;
3.76;1465.518;205011.31;139890;139890;139890;ЧЕЛЯБИНСК;Круг Ст38хс;280мм;;ГОСТ 2590-2006, 4543-2016, 3ГП;Круг;3;
12.04;1670.939;218709.26;130890;130890;130890;ЧЕЛЯБИНСК;Круг ст30ХГСА;270мм;;ГОСТ 2590-2006,4543-2016 3ГП;Круг;3.77;
3.29;1175.517;164443.14;139890;139890;139890;ЧЕЛЯБИНСК;Круг Ст38хс;270мм;;ГОСТ 2590-2006, 4543-2016, 3ГП;Круг;2.5;
5.86;1170.000;182625.30;156090;155990;155890;ЧЕЛЯБИНСК;Круг Ст9ХС;270мм;;ГОСТ 2590-2006, 5950-2000 2ГП;Круг;2.6;
5.28;29.221;2305.28;74890;74890;74890;ЧЕЛЯБИНСК;Круг ст30ХГСА;28мм;;ГОСТ 2590-2006,4543-2016 2ГП;Круг;6.05;
9.45;30.000;2882.70;93090;92990;92890;ЧЕЛЯБИНСК;Круг Ст38хс;28мм;;ГОСТ 2590-2006, 4543-2016, 2ГП;Круг;6;
5.35;1159.200;180939.53;156090;155990;155890;ЧЕЛЯБИНСК;Круг Ст9ХС;280мм;;ГОСТ 2590-2006, 5950-2000 2ГП;Круг;2.4;
6.72;1475.507;191653.66;129890;129890;129890;ЧЕЛЯБИНСК;Круг ст18ХГТ;260мм;;ТУ14-1-2118,2590,4543-16 2ГП;Круг;3.54;
2.41;1222.776;158826.37;129890;129890;129890;ЧЕЛЯБИНСК;Круг ст18ХГТ;260мм;;ТУ14-1-2118,2590,4543-16 3ГП;Круг;2.96;
5.56;1209.300;169168.98;139890;139890;139890;ЧЕЛЯБИНСК;Круг Ст38хс;260мм;;ГОСТ 2590-2006, 4543-2016, 3ГП;Круг;2.9;
3.39;1770.422;231730.60;130890;130890;130890;ЧЕЛЯБИНСК;Круг ст30ХГСА;260мм;;ГОСТ 2590-2006,4543-2016 3ГП;Круг;4.25;
7.93;1874.565;245361.81;130890;130890;130890;ЧЕЛЯБИНСК;Круг ст30ХГСА;260мм;;ТУ 14-1-2118-98,4543-2016 3ГП;Круг;4.5;
2.87;19.255;2333.71;121200;120890;120890;НОВОСИБИРСК;Круг Ст9ХС;25мм;;ГОСТ 2590-2006, 5950-2000 2ГП;Круг;5;
5.20;19.525;2366.38;117200;116890;116890;ЧЕЛЯБИНСК;Круг Ст9ХС;25мм;;ГОСТ 2590-2006, 5950-2000 2ГП;Круг;5.07;
3.92;19.602;1826.87;93200;92890;92890;НОВОСИБИРСК;Круг СтУ8А;25мм;;ГОСТ 2590-2006, 1435-99 2ГП;Круг;5.09;
0.32;19.062;1795.68;90200;89890;89890;ЧЕЛЯБИНСК;Круг СтУ8А;25мм;;ГОСТ 2590-2006, 1435-99 2ГП;Круг;4.95;
2.39;19.227;7671.57;395000;395000;395000;ЧЕЛЯБИНСК;Круг СтХВГ;25;;ГОСТ 2590-06,5950-2000,2ГП,Т/О;Круг;4.93;
3.23;15.336;2829.49;180500;179890;179890;ЧЕЛЯБИНСК;Круг СтШХ15-В;25 мм;;ГОСТ 2590-2006 801-2022, ОГ,В1;Круг;4;
5.60;24.186;2348.22;93090;92990;92890;ЧЕЛЯБИНСК;Круг Ст38хс;26мм;;ГОСТ 2590-2006, 4543-2016, 2ГП;Круг;5.8;
0.99;994.001;129607.74;129890;129890;129890;ЧЕЛЯБИНСК;Круг ст18ХГТ;270мм;;ТУ14-1-2118,2590,4543-16 2ГП;Круг;2.22;
10.05;2668.426;346601.88;129890;129890;129890;ЧЕЛЯБИНСК;Круг ст18ХГТ;270мм;;ТУ14-1-2118,2590,4543-16 3ГП;Круг;5.94;
3.47;1105.050;170277.15;154090;153990;153890;ЧЕЛЯБИНСК;Круг Ст9ХС;260мм;;ГОСТ 2590-2006, 5950-2000 2ГП;Круг;2.65;
3.70;91.936;10774.92;117200;116890;116890;НОВОСИБИРСК;Круг Ст9ХС;56мм;;ГОСТ 2590-2006, 5950-2000 2ГП;Круг;4.75;
5.44;92.904;10683.96;113200;112890;112890;ЧЕЛЯБИНСК;Круг Ст9ХС;56мм;;ГОСТ 2590-2006, 5950-2000 2ГП;Круг;4.8;
2.37;76.944;14026.89;180500;179890;179890;ЧЕЛЯБИНСК;Круг СтШХ15-В;56 мм;;ГОСТ 2590-2006 801-2022, ОГ,В1;Круг;4;
1.14;116.946;8968.63;74890;74890;74890;ЧЕЛЯБИНСК;Круг ст30ХГСА;56мм;;ГОСТ 2590-2006,4543-2016 2ГП;Круг;6.05;
4.28;98.583;10903.28;108800;108800;108800;ЧЕЛЯБИНСК;Круг Ст30ХМА;56мм;;ГОСТ 2590-2006,4543-2016, 2ГП;Круг;5.1;
2.41;155.061;28190.13;180500;179890;179890;ЧЕЛЯБИНСК;Круг СтШХ15-В;80 мм;;ГОСТ 2590-2006 801-2022, ОГ,В1;Круг;3.95;
6.00;219.620;84839.21;385000;385000;385000;ЧЕЛЯБИНСК;Круг СтХВГ;80;обточка;ГОСТ 2590-06,5950-2000,2ГП,Т/О;Круг;5.56;
4.92;216.920;24837.34;113200;112890;112890;ЧЕЛЯБИНСК;Круг Ст9ХС;80мм;;ГОСТ 2590-2006, 5950-2000 2ГП;Круг;5.5;
4.55;177.480;20800.66;117200;116890;116890;НОВОСИБИРСК;Круг Ст9ХС;80мм;;ГОСТ 2590-2006, 5950-2000 2ГП;Круг;4.5;
10.04;114.240;10840.26;93090;92990;92890;ЧЕЛЯБИНСК;Круг Ст38хс;56мм;;ГОСТ 2590-2006, 4543-2016, 2ГП;Круг;5.91;
1.94;134.028;12717.88;93090;92990;92890;ЧЕЛЯБИНСК;Круг Ст38хс;60мм;;ГОСТ 2590-2006, 4543-2016, 2ГП;Круг;6.04;
2.07;131.365;10074.37;74890;74890;74890;ЧЕЛЯБИНСК;Круг ст30ХГСА;60мм;;ГОСТ 2590-2006,4543-2016 2ГП;Круг;5.92;
4.91;117.660;13013.20;108800;108800;108800;ЧЕЛЯБИНСК;Круг Ст30ХМА;60мм;;ГОСТ 2590-2006,4543-2016, 2ГП;Круг;5.3;
8.54;96.686;7415.82;74900;74900;74900;ЧЕЛЯБИНСК;Круг ст18ХГТ;52мм;;ГОСТ 2590-2006 4543-2016 2ГП;Круг;5.8;
3.32;81.620;9565.86;117200;116890;116890;НОВОСИБИРСК;Круг Ст9ХС;50мм;;ГОСТ 2590-2006, 5950-2000 2ГП;Круг;5.3;
7.72;90.090;10360.35;113200;112890;112890;ЧЕЛЯБИНСК;Круг Ст9ХС;50мм;;ГОСТ 2590-2006, 5950-2000 2ГП;Круг;5.85;
1.59;85.250;32974.70;385000;385000;385000;ЧЕЛЯБИНСК;Круг СтХВГ;50;;ГОСТ 2590-06,5950-2000,2ГП,Т/О;Круг;5.5;
2.18;60.569;11041.78;180500;179890;179890;ЧЕЛЯБИНСК;Круг СтШХ15-В;50 мм;;ГОСТ 2590-2006 801-2022, ОГ,В1;Круг;3.95;
0.59;80.080;8856.85;108800;108800;108800;ЧЕЛЯБИНСК;Круг Ст30ХМА;50мм;;ГОСТ 2590-2006,4543-2016, 2ГП;Круг;5.2;
11.80;267.240;20361.02;74890;74890;74890;ЧЕЛЯБИНСК;Круг ст30ХГСА;85мм;;ГОСТ 2590-2006,4543-2016 2ГП;Круг;6;
1.57;93.137;8837.75;93090;92990;92890;ЧЕЛЯБИНСК;Круг Ст38хс;50мм;;ГОСТ 2590-2006, 4543-2016, 2ГП;Круг;6.04;
4.79;108.276;8304.77;74900;74900;74900;ЧЕЛЯБИНСК;Круг ст18ХГТ;56мм;;ГОСТ 2590-2006 4543-2016 2ГП;Круг;5.6;
4.20;96.957;9036.39;93200;92890;92890;НОВОСИБИРСК;Круг СтУ8А;55мм;;ГОСТ 2590-2006, 1435-99 2ГП;Круг;5.25;
1.93;107.180;9860.56;90200;89890;89890;ЧЕЛЯБИНСК;Круг СтУ8А;55мм;;ГОСТ 2590-2006, 1435-99 2ГП;Круг;5.75;
